"Full Complaint ID","Complaint Year Number","Month Number","Record Create Date","Complaint Precinct Code","Patrol Borough Name","County","Law Code Category Description","Offense Description","PD Code Description","Bias Motive Description","Offense Category","Arrest Date","Arrest Id"
"202509012776317","2025","11","11/12/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37750461"
"202509012776417","2025","11","11/12/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37746378"
"202509012777617","2025","11","11/12/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37746383"
"202509012781417","2025","11","11/13/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37750451"
"202509012785217","2025","11","11/15/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37750449"
"202509012793517","2025","11","11/18/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37750447"
"202509012804817","2025","11","11/21/2025","90","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37750445"
"202509412555317","2025","11","11/12/2025","94","PATROL BORO BKLYN NORTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-FEMALE","Gender",,"K37750466"
"202510312919117","2025","7","07/15/2025","103","PATROL BORO QUEENS SOUTH","QUEENS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-MUSLIM","Religion/Religious Practice",,"Q37710014"
"202510312919117","2025","7","07/15/2025","103","PATROL BORO QUEENS SOUTH","QUEENS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-MUSLIM","Religion/Religious Practice",,"Q37710917"
"202510412516617","2025","3","07/10/2025","104","PATROL BORO QUEENS NORTH","QUEENS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-WHITE","Race/Color",,"Q37705385"
"202510812320717","2025","4","04/16/2025","108","PATROL BORO QUEENS NORTH","QUEENS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-ASIAN","Race/Color",,"Q37701518"
"202511512861017","2025","8","08/23/2025","115","PATROL BORO QUEENS NORTH","QUEENS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-MALE HOMOSEXUAL (GAY)","Sexual Orientation",,"Q37712519"
"202500612107317","2025","1","01/22/2025","6","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37703662"
"202501413442917","2025","9","09/21/2025","14","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37725159"
"202501413462317","2025","9","09/25/2025","14","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37725162"
"202501413666317","2025","11","11/05/2025","14","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37732588"
"202501812388117","2025","3","03/31/2025","18","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37690265"
"202501812388217","2025","3","03/31/2025","18","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37690261"
"202501812392317","2025","4","04/01/2025","18","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37690315"
"202501812992917","2025","9","09/20/2025","18","PATROL BORO MAN SOUTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37724493"
"202501912516617","2025","6","06/14/2025","19","PATROL BORO MAN NORTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37705529"
"202502012146417","2025","2","02/24/2025","20","PATROL BORO MAN NORTH","NEW YORK","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"M37700641"
"202504812515917","2025","5","05/12/2025","48","PATROL BORO BRONX","BRONX","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"B37720412"
"202506112340517","2025","4","04/25/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37702462"
"202506312292917","2025","5","05/04/2025","63","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37701918"
"202506612257017","2025","4","04/08/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37696228"
"202506612582417","2025","10","10/08/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37739314"
"202506812203217","2025","3","03/16/2025","68","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37704239"
"202507212386017","2025","5","06/05/2025","72","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37718249"
"202507612147817","2025","3","03/15/2025","76","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37750446"
"202507912942717","2025","10","10/28/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37742721"
"202508812260517","2025","5","05/05/2025","88","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37711869"
"202509012285817","2025","4","04/17/2025","90","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"K37702959"
"202510012287417","2025","7","08/01/2025","100","PATROL BORO QUEENS SOUTH","QUEENS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"Q37720680"
"202510712132517","2025","1","01/26/2025","107","PATROL BORO QUEENS SOUTH","QUEENS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"Q37682902"
"202510712132517","2025","1","01/26/2025","107","PATROL BORO QUEENS SOUTH","QUEENS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"Q37678496"
"202511012400117","2025","4","04/08/2025","110","PATROL BORO QUEENS NORTH","QUEENS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"Q37693308"
"202512112611617","2025","8","08/18/2025","121","PATROL BORO STATEN ISLAND","RICHMOND","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,"S37681188"
"202500612256817","2025","4","04/19/2025","6","PATROL BORO MAN SOUTH","NEW YORK","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"M37694213"
"202506112198617","2025","2","02/27/2025","61","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37685451"
"202507012088517","2025","12","01/07/2025","70","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","OFF. AGNST PUB ORD SENSBLTY &","AGGRAVATED HARASSMENT 2","ANTI-JEWISH","Religion/Religious Practice",,"K37713699"
"202507012437417","2025","5","05/19/2025","70","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37716882"
"202507012483117","2025","6","06/06/2025","70","PATROL BORO BKLYN SOUTH","KINGS","MISDEMEANOR","ASSAULT 3 & RELATED OFFENSES","MENACING,UNCLASSIFIED","ANTI-JEWISH","Religion/Religious Practice",,"K37709511"
"202507012924117","2025","11","11/16/2025","70","PATROL BORO BKLYN SOUTH","KINGS","FELONY","GRAND LARCENY","LARCENY,GRAND FROM PERSON,UNCL","ANTI-JEWISH","Religion/Religious Practice",,"K37747374"
"202507012924117","2025","11","11/16/2025","70","PATROL BORO BKLYN SOUTH","KINGS","FELONY","GRAND LARCENY","LARCENY,GRAND FROM PERSON,UNCL","ANTI-JEWISH","Religion/Religious Practice",,"K37747377"
